year,month,size,count
2015.0,11.0,4.5<6.5kW,4798
2015.0,11.0,6.5<9.5kW,417
2015.0,11.0,9.5<14kW,303
2015.0,11.0,14<25kW,171
2015.0,11.0,25<=100kW,179
2015.0,12.0,<2.5kW,1272
2015.0,12.0,2.5<4.5kW,3443
2015.0,12.0,4.5<6.5kW,4508
2015.0,12.0,6.5<9.5kW,382
2015.0,12.0,9.5<14kW,332
2015.0,12.0,14<25kW,178
2015.0,12.0,25<=100kW,182
2016.0,1.0,<2.5kW,1114
2016.0,1.0,2.5<4.5kW,2663
2016.0,1.0,4.5<6.5kW,3705
2016.0,1.0,6.5<9.5kW,326
2016.0,1.0,9.5<14kW,206
2016.0,1.0,14<25kW,102
2016.0,1.0,25<=100kW,97
2016.0,2.0,<2.5kW,1512
2016.0,2.0,2.5<4.5kW,3554
2016.0,2.0,4.5<6.5kW,4897
2016.0,2.0,6.5<9.5kW,423
2016.0,2.0,9.5<14kW,268
2016.0,2.0,14<25kW,148
2016.0,2.0,25<=100kW,163
2016.0,3.0,<2.5kW,1439
2016.0,3.0,2.5<4.5kW,3512
2016.0,3.0,4.5<6.5kW,4723
2016.0,3.0,6.5<9.5kW,418
2016.0,3.0,9.5<14kW,261
2016.0,3.0,14<25kW,137
2016.0,3.0,25<=100kW,156
2016.0,4.0,<2.5kW,1397
2016.0,4.0,2.5<4.5kW,3353
2016.0,4.0,4.5<6.5kW,4438
2016.0,4.0,6.5<9.5kW,484
2016.0,4.0,9.5<14kW,292
2016.0,4.0,14<25kW,154
2016.0,4.0,25<=100kW,171
2016.0,5.0,<2.5kW,1357
2016.0,5.0,2.5<4.5kW,3429
2016.0,5.0,4.5<6.5kW,4710
2016.0,5.0,6.5<9.5kW,542
2016.0,5.0,9.5<14kW,292
2016.0,5.0,14<25kW,175
2016.0,5.0,25<=100kW,186
2016.0,6.0,<2.5kW,1240
2016.0,6.0,2.5<4.5kW,3191
2016.0,6.0,4.5<6.5kW,4398
