year,month,state,size,capacity
2013,4,aus,0,8451
2013,4,aus,1,19225
2013,4,aus,2,26788
2013,4,aus,3,1862
2013,4,aus,4,2836
2013,4,aus,5,1262
2013,4,aus,6,1481
2013,4,aus,7,1102
2013,4,aus,8,300
2013,4,aus,9,0
2013,4,aus,a,0
2013,5,aus,0,8953
2013,5,aus,1,22152
2013,5,aus,2,37119
2013,5,aus,3,2474
2013,5,aus,4,2847
2013,5,aus,5,2163
2013,5,aus,6,2278
2013,5,aus,7,1433
2013,5,aus,8,0
2013,5,aus,9,0
2013,5,aus,a,0
2013,6,aus,0,8752
2013,6,aus,1,24435
2013,6,aus,2,45443
2013,6,aus,3,2769
2013,6,aus,4,3553
2013,6,aus,5,2339
2013,6,aus,6,2949
2013,6,aus,7,1197
2013,6,aus,8,346
2013,6,aus,9,0
2013,6,aus,a,0
2013,7,aus,0,7931
2013,7,aus,1,19854
2013,7,aus,2,25644
2013,7,aus,3,2216
2013,7,aus,4,3123
2013,7,aus,5,1989
2013,7,aus,6,2165
2013,7,aus,7,1436
2013,7,aus,8,603
2013,7,aus,9,0
2013,7,aus,a,0
2013,8,aus,0,6401
2013,8,aus,1,18010
2013,8,aus,2,23459
2013,8,aus,3,2774
2013,8,aus,4,3460
2013,8,aus,5,1818
2013,8,aus,6,2236
2013,8,aus,7,1071
2013,8,aus,8,1439
2013,8,aus,9,0
2013,8,aus,a,0
2013,9,aus,0,5825
2013,9,aus,1,18082
2013,9,aus,2,24987
2013,9,aus,3,2848
2013,9,aus,4,4193
2013,9,aus,5,2124
2013,9,aus,6,2184
2013,9,aus,7,1694
2013,9,aus,8,900
2013,9,aus,9,0
2013,9,aus,a,0
2013,10,aus,0,6534
2013,10,aus,1,21567
2013,10,aus,2,29422
2013,10,aus,3,3556
2013,10,aus,4,4348
2013,10,aus,5,2355
2013,10,aus,6,2975
2013,10,aus,7,1771
2013,10,aus,8,900
2013,10,aus,9,0
2013,10,aus,a,0
2013,11,aus,0,6698
2013,11,aus,1,19557
2013,11,aus,2,30038
2013,11,aus,3,3434
2013,11,aus,4,4673
2013,11,aus,5,2313
2013,11,aus,6,2625
2013,11,aus,7,1670
2013,11,aus,8,664
2013,11,aus,9,13306
2013,11,aus,a,0
2013,12,aus,0,5005
