year,month,size,installations,capacity
2010,10,100 kW to 5 MW,,200
2010,10,5 MW to 30 MW,,0
2010,10,More than 30 MW,,0
2010,11,Less than 2.5 kW,19523,32143
2010,11,2.5 to 4.5 kW,4206,13550
2010,11,4.5 to 6.5 kW,874,4528
2010,11,6.5 to 9.5 kW,99,768
2010,11,9.5 to 14 kW,231,2340
2010,11,14 to 25 kW,26,438
2010,11,25 to 100 kW,25,1083
2010,11,100 kW to 5 MW,,0
2010,11,5 MW to 30 MW,,0
2010,11,More than 30 MW,,0
2010,12,Less than 2.5 kW,14366,23659
2010,12,2.5 to 4.5 kW,3335,10651
2010,12,4.5 to 6.5 kW,631,3263
2010,12,6.5 to 9.5 kW,89,686
2010,12,9.5 to 14 kW,207,2096
2010,12,14 to 25 kW,14,243
2010,12,25 to 100 kW,12,536
2010,12,100 kW to 5 MW,,0
2010,12,5 MW to 30 MW,,0
2010,12,More than 30 MW,,0
2011,1,Less than 2.5 kW,19059,31779
2011,1,2.5 to 4.5 kW,4870,15642
2011,1,4.5 to 6.5 kW,1024,5290
2011,1,6.5 to 9.5 kW,122,941
2011,1,9.5 to 14 kW,360,3644
2011,1,14 to 25 kW,15,264
2011,1,25 to 100 kW,16,624
2011,1,100 kW to 5 MW,,0
2011,1,5 MW to 30 MW,,0
2011,1,More than 30 MW,,0
2011,2,Less than 2.5 kW,21869,36262
2011,2,2.5 to 4.5 kW,5372,17214
2011,2,4.5 to 6.5 kW,1088,5618
2011,2,6.5 to 9.5 kW,153,1178
2011,2,9.5 to 14 kW,329,3321
2011,2,14 to 25 kW,25,409
2011,2,25 to 100 kW,14,662
2011,2,100 kW to 5 MW,,0
2011,2,5 MW to 30 MW,,0
2011,2,More than 30 MW,,0
2011,3,Less than 2.5 kW,26644,44152
2011,3,2.5 to 4.5 kW,6766,21596
2011,3,4.5 to 6.5 kW,1439,7426
2011,3,6.5 to 9.5 kW,139,1057
2011,3,9.5 to 14 kW,503,5072
2011,3,14 to 25 kW,22,375
2011,3,25 to 100 kW,15,522
2011,3,100 kW to 5 MW,,101
2011,3,5 MW to 30 MW,,0
2011,3,More than 30 MW,,0
2011,4,Less than 2.5 kW,24638,40942
2011,4,2.5 to 4.5 kW,6480,20672
2011,4,4.5 to 6.5 kW,1352,6959
2011,4,6.5 to 9.5 kW,155,1196
2011,4,9.5 to 14 kW,507,5117
2011,4,14 to 25 kW,31,554
2011,4,25 to 100 kW,17,627
2011,4,100 kW to 5 MW,,0
2011,4,5 MW to 30 MW,,0
2011,4,More than 30 MW,,0
2011,5,Less than 2.5 kW,36479,61033
2011,5,2.5 to 4.5 kW,10810,34431
2011,5,4.5 to 6.5 kW,2189,11233
2011,5,6.5 to 9.5 kW,196,1517
2011,5,9.5 to 14 kW,533,5402
2011,5,14 to 25 kW,38,697
2011,5,25 to 100 kW,45,1761
2011,5,100 kW to 5 MW,,600
2011,5,5 MW to 30 MW,,0
2011,5,More than 30 MW,,0
2011,6,Less than 2.5 kW,47054,79830
2011,6,2.5 to 4.5 kW,16742,53730
2011,6,4.5 to 6.5 kW,4034,20536
2011,6,6.5 to 9.5 kW,302,2344
2011,6,9.5 to 14 kW,538,5513
2011,6,14 to 25 kW,116,2044
2011,6,25 to 100 kW,82,3442
2011,6,100 kW to 5 MW,,0
2011,6,5 MW to 30 MW,,0
2011,6,More than 30 MW,,0
2011,7,Less than 2.5 kW,14576,24594
2011,7,2.5 to 4.5 kW,5994,19136
2011,7,4.5 to 6.5 kW,1354,6894
2011,7,6.5 to 9.5 kW,82,647
2011,7,9.5 to 14 kW,156,1590
2011,7,14 to 25 kW,38,667
2011,7,25 to 100 kW,20,693
2011,7,100 kW to 5 MW,,0
2011,7,5 MW to 30 MW,,0
2011,7,More than 30 MW,,0
2011,8,Less than 2.5 kW,13131,22186
2011,8,2.5 to 4.5 kW,6999,22485
2011,8,4.5 to 6.5 kW,1732,8765
2011,8,6.5 to 9.5 kW,73,564
2011,8,9.5 to 14 kW,141,1464
2011,8,14 to 25 kW,26,457
2011,8,25 to 100 kW,25,772
2011,8,100 kW to 5 MW,,0
2011,8,5 MW to 30 MW,,0
2011,8,More than 30 MW,,0
2011,9,Less than 2.5 kW,13421,22678
2011,9,2.5 to 4.5 kW,8508,27479
2011,9,4.5 to 6.5 kW,2621,13131
2011,9,6.5 to 9.5 kW,114,892
2011,9,9.5 to 14 kW,144,1466
2011,9,14 to 25 kW,31,574
2011,9,25 to 100 kW,36,1136
2011,9,100 kW to 5 MW,,1206
2011,9,5 MW to 30 MW,,0
2011,9,More than 30 MW,,0
2011,10,Less than 2.5 kW,9715,16248
2011,10,2.5 to 4.5 kW,5150,16600
2011,10,4.5 to 6.5 kW,1493,7521
2011,10,6.5 to 9.5 kW,109,843
2011,10,9.5 to 14 kW,147,1504
2011,10,14 to 25 kW,25,452
2011,10,25 to 100 kW,30,916
2011,10,100 kW to 5 MW,,0
2011,10,5 MW to 30 MW,,0
2011,10,More than 30 MW,,0
2011,11,Less than 2.5 kW,10370,16810
2011,11,2.5 to 4.5 kW,5474,17822
2011,11,4.5 to 6.5 kW,1828,9184
2011,11,6.5 to 9.5 kW,121,921
2011,11,9.5 to 14 kW,235,2392
2011,11,14 to 25 kW,20,355
2011,11,25 to 100 kW,32,1028
2011,11,100 kW to 5 MW,,0
2011,11,5 MW to 30 MW,,0
2011,11,More than 30 MW,,0
2011,12,Less than 2.5 kW,8290,13714
2011,12,2.5 to 4.5 kW,4383,14380
2011,12,4.5 to 6.5 kW,1642,8275
2011,12,6.5 to 9.5 kW,113,864
2011,12,9.5 to 14 kW,103,1061
2011,12,14 to 25 kW,33,584
2011,12,25 to 100 kW,32,1038
2011,12,100 kW to 5 MW,,235
2011,12,5 MW to 30 MW,,0
2011,12,More than 30 MW,,0
2012,1,Less than 2.5 kW,7622,12704
2012,1,2.5 to 4.5 kW,3788,12289
2012,1,4.5 to 6.5 kW,1403,7067
2012,1,6.5 to 9.5 kW,73,559
2012,1,9.5 to 14 kW,97,1004
2012,1,14 to 25 kW,13,203
2012,1,25 to 100 kW,22,812
2012,1,100 kW to 5 MW,,0
2012,1,5 MW to 30 MW,,0
2012,1,More than 30 MW,,0
2012,2,Less than 2.5 kW,11800,19593
2012,2,2.5 to 4.5 kW,5422,17677
2012,2,4.5 to 6.5 kW,2058,10389
2012,2,6.5 to 9.5 kW,110,835
2012,2,9.5 to 14 kW,122,1266
2012,2,14 to 25 kW,23,429
2012,2,25 to 100 kW,27,892
2012,2,100 kW to 5 MW,,2090
2012,2,5 MW to 30 MW,,0
2012,2,More than 30 MW,,0
2012,3,Less than 2.5 kW,13987,23357
2012,3,2.5 to 4.5 kW,6527,21208
2012,3,4.5 to 6.5 kW,2779,14024
2012,3,6.5 to 9.5 kW,146,1098
2012,3,9.5 to 14 kW,144,1503
2012,3,14 to 25 kW,26,459
2012,3,25 to 100 kW,23,787
2012,3,100 kW to 5 MW,,216
2012,3,5 MW to 30 MW,,0
2012,3,More than 30 MW,,0
2012,4,Less than 2.5 kW,15332,26055
2012,4,2.5 to 4.5 kW,7515,24459
