year,month,state,capacity
2013,8,nt,267.0
2013,9,nt,427.0
2013,10,nt,549.0
2013,11,nt,564.0
2013,12,nt,307.0
2014,1,nt,219.0
2014,2,nt,316.0
2014,3,nt,554.0
2014,4,nt,473.0
2014,5,nt,693.0
2014,6,nt,539.0
2014,7,nt,483.0
2014,8,nt,520.0
2014,9,nt,573.0
2014,10,nt,619.0
2014,11,nt,893.0
2014,12,nt,580.0
2015,1,nt,252.0
2015,2,nt,475.0
2015,3,nt,764.0
2015,4,nt,536.0
2015,5,nt,822.0
2015,6,nt,589.0
2015,7,nt,624.0
2015,8,nt,4259.0
2015,9,nt,1303.0
2015,10,nt,1968.0
2015,11,nt,1195.0
2015,12,nt,965.0
2016,1,nt,447.0
2016,2,nt,887.0
2016,3,nt,780.0
2016,4,nt,2876.0
2016,5,nt,1556.0
2016,6,nt,5322.0
2016,7,nt,1079.0
2016,8,nt,1051.0
2016,9,nt,1318.0
2016,10,nt,1190.0
2016,11,nt,1161.0
2016,12,nt,3522.0
2017,1,nt,446.0
2017,2,nt,616.0
2017,3,nt,688.0
2017,4,nt,911.0
2017,5,nt,1501.0
2017,6,nt,1626.0
2017,7,nt,1603.0
2017,8,nt,1551.0
2017,9,nt,1125.0
2017,10,nt,2070.0
2017,11,nt,1522.0
2017,12,nt,1789.0
2018,1,nt,1433.0
2018,2,nt,4702.0
2018,3,nt,2743.0
2018,4,nt,1341.0
2018,5,nt,1325.0
2018,6,nt,2245.0
2018,7,nt,1608.0
2018,8,nt,1571.0
2018,9,nt,1949.0
2018,10,nt,2233.0
2018,11,nt,2406.0
2018,12,nt,4724.0
2019,1,nt,1410.0
2019,2,nt,4264.0
2019,3,nt,2957.0
2019,4,nt,2057.0
2019,5,nt,2672.0
2019,6,nt,2514.0
2019,7,nt,2238.0
2019,8,nt,2616.0
2019,9,nt,2751.0
2019,10,nt,2509.0
2019,11,nt,2492.0
2019,12,nt,3592.0
2020,1,nt,2161.0
2020,2,nt,3053.0
2020,3,nt,2645.0
2020,4,nt,2422.0
2020,5,nt,3288.0
2020,6,nt,3020.0
2020,7,nt,2599.0
2020,8,nt,1628.0
2020,9,nt,2353.0
2020,10,nt,1945.0
2020,11,nt,2618.0
2020,12,nt,35928.0
2021,1,nt,964.0
2021,2,nt,2744.0
2021,3,nt,1813.0
2021,4,nt,1063.0
2021,5,nt,1896.0
2021,6,nt,1339.0
2021,7,nt,1814.0
2021,8,nt,26238.0
2021,9,nt,1322.0
2021,10,nt,1802.0
2021,11,nt,1997.0
2021,12,nt,2202.0
2022,1,nt,597.0
2022,2,nt,9374.0
2022,3,nt,14380.0
2022,4,nt,1181.0
2022,5,nt,1075.0
2022,6,nt,444.0
2007,1,qld,10.0
2007,2,qld,15.0
2007,3,qld,9.0
2007,4,qld,12.0
2007,5,qld,1.0
2007,6,qld,26.0
2007,7,qld,55.0
2007,8,qld,43.0
2007,9,qld,90.0
2007,10,qld,160.0
2007,11,qld,117.0
2007,12,qld,163.0
2008,1,qld,97.0
2008,2,qld,122.0
2008,3,qld,118.0
2008,4,qld,230.0
2008,5,qld,258.0
2008,6,qld,290.0
2008,7,qld,322.0
2008,8,qld,290.0
2008,9,qld,391.0
2008,10,qld,664.0
2008,11,qld,591.0
2008,12,qld,743.0
2009,1,qld,675.0
2009,2,qld,870.0
2009,3,qld,1256.0
2009,4,qld,1133.0
2009,5,qld,1328.0
2009,6,qld,1851.0
2009,7,qld,2205.0
2009,8,qld,2126.0
2009,9,qld,2448.0
2009,10,qld,3082.0
2009,11,qld,4020.0
2009,12,qld,3445.0
2010,1,qld,3122.0
2010,2,qld,4037.0
