"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"18100","Weddin (A)","NSW","4201","1944","667","30.0","2716","1485","0","584","83","0"
"18200","Wentworth (A)","NSW","15974","3195","1227","29.7","4790","5518","5666","950","272","5"
"18250","Willoughby (C)","NSW","20468","15615","3202","17.9","12978","7290","200","2793","408","1"
"18350","Wingecarribee (A)","NSW","47405","22590","7352","28.4","29454","16474","1477","6421","928","3"
"18400","Wollondilly (A)","NSW","50366","19247","7635","33.0","30435","19345","586","6346","1288","1"
"18450","Wollongong (C)","NSW","112802","70849","19606","25.5","82326","29350","1126","18065","1535","6"
"18500","Woollahra (A)","NSW","8299","10442","1174","9.1","4616","3683","0","952","222","0"
"18710","Yass Valley (A)","NSW","20019","6983","2917","34.5","12114","7905","0","2411","506","0"
"19399","Unincorporated NSW","NSW","54105","600","231","35.0","769","336","53000","210","20","1"
"20110","Alpine (S)","VIC","13725","6985","2454","32.0","9687","3859","179","2238","215","1"
"20260","Ararat (RC)","VIC","8643","5416","1526","26.3","6120","2311","212","1423","102","1"
"20570","Ballarat (C)","VIC","70097","50585","10181","18.7","42380","18258","9459","9461","708","12"
"20660","Banyule (C)","VIC","45575","48986","8725","16.8","33572","10053","1950","8225","492","8"
"20740","Bass Coast (S)","VIC","41455","27287","7511","26.0","31565","8996","894","7097","411","3"
"20830","Baw Baw (S)","VIC","43106","22208","7673","32.2","29873","11552","1681","7152","516","5"
"20910","Bayside (C)","VIC","32350","38263","5900","14.2","23994","8104","252","5425","474","1"
"21010","Benalla (RC)","VIC","262816","6335","2466","36.1","9858","3472","249486","2286","177","3"
"21110","Boroondara (C)","VIC","45687","54181","8236","14.0","33006","11573","1108","7604","630","2"
"21180","Brimbank (C)","VIC","97154","68858","16127","22.3","63739","23770","9645","15373","735","19"
"21270","Buloke (S)","VIC","7399","3110","1109","32.4","4397","2662","340","1009","99","1"
"21370","Campaspe (S)","VIC","121059","17484","7054","36.1","27588","17353","76118","6320","719","15"
"21450","Cardinia (S)","VIC","80550","44403","13590","28.6","59662","18248","2640","12707","876","7"
"21610","Casey (C)","VIC","230186","120178","44072","35.4","199847","28847","1492","42569","1497","6"
"21670","Central Goldfields (S)","VIC","14156","7107","2414","32.1","9137","3379","1640","2283","128","3"
"21750","Colac-Otway (S)","VIC","16079","12937","2558","18.1","9781","4559","1739","2338","217","3"
"21830","Corangamite (S)","VIC","14195","7562","1862","21.3","7153","7042","0","1607","255","0"
"21890","Darebin (C)","VIC","50581","62635","9914","15.1","36375","11006","3200","9470","439","5"
"22110","East Gippsland (S)","VIC","45316","26257","8383","30.1","33379","10259","1678","7904","474","5"
"22170","Frankston (C)","VIC","73191","63819","13945","20.7","54693","15346","3152","13235","706","4"
"22250","Gannawarra (S)","VIC","109497","5225","2072","34.8","8080","6939","94478","1816","254","2"
"22310","Glen Eira (C)","VIC","35146","47929","6907","13.6","27815","6846","485","6514","391","2"
"22410","Glenelg (S)","VIC","12782","10063","2531","24.1","10281","2501","0","2421","110","0"
"22490","Golden Plains (S)","VIC","20330","9354","3656","36.1","15461","4869","0","3374","282","0"
"22620","Greater Bendigo (C)","VIC","93595","56212","16373","27.3","65776","23616","4203","15357","1005","11"
"22670","Greater Dandenong (C)","VIC","99840","59677","13126","20.2","53097","33933","12810","12070","1030","26"
"22750","Greater Geelong (C)","VIC","155784","119941","27641","22.0","109267","31850","14667","26336","1292","13"
"22830","Greater Shepparton (C)","VIC","88462","30878","10273","30.3","40337","22489","25636","9355","894","24"
