year,month,size,count
2015,2,2.5 to 4.5 kW,4767
2015,2,4.5 to 6.5 kW,4892
2015,2,6.5 to 9.5 kW,350
2015,2,9.5 to 14 kW,290
2015,2,14 to 25 kW,165
2015,2,25 to 100 kW,173
2015,3,Less than 2.5 kW,2295
2015,3,2.5 to 4.5 kW,4853
2015,3,4.5 to 6.5 kW,5019
2015,3,6.5 to 9.5 kW,391
2015,3,9.5 to 14 kW,275
2015,3,14 to 25 kW,168
2015,3,25 to 100 kW,164
2015,4,Less than 2.5 kW,1909
2015,4,2.5 to 4.5 kW,4066
2015,4,4.5 to 6.5 kW,4241
2015,4,6.5 to 9.5 kW,326
2015,4,9.5 to 14 kW,252
2015,4,14 to 25 kW,157
2015,4,25 to 100 kW,121
2015,5,Less than 2.5 kW,2013
2015,5,2.5 to 4.5 kW,4072
2015,5,4.5 to 6.5 kW,4545
2015,5,6.5 to 9.5 kW,381
2015,5,9.5 to 14 kW,288
2015,5,14 to 25 kW,155
2015,5,25 to 100 kW,173
2015,6,Less than 2.5 kW,1853
2015,6,2.5 to 4.5 kW,4046
2015,6,4.5 to 6.5 kW,4817
2015,6,6.5 to 9.5 kW,388
2015,6,9.5 to 14 kW,295
2015,6,14 to 25 kW,205
2015,6,25 to 100 kW,183
2015,7,Less than 2.5 kW,2011
2015,7,2.5 to 4.5 kW,4306
2015,7,4.5 to 6.5 kW,5649
2015,7,6.5 to 9.5 kW,434
2015,7,9.5 to 14 kW,341
2015,7,14 to 25 kW,190
2015,7,25 to 100 kW,178
2015,8,Less than 2.5 kW,1574
2015,8,2.5 to 4.5 kW,3954
2015,8,4.5 to 6.5 kW,5116
2015,8,6.5 to 9.5 kW,380
2015,8,9.5 to 14 kW,272
2015,8,14 to 25 kW,151
2015,8,25 to 100 kW,174
2015,9,Less than 2.5 kW,1641
2015,9,2.5 to 4.5 kW,3948
2015,9,4.5 to 6.5 kW,5162
2015,9,6.5 to 9.5 kW,401
2015,9,9.5 to 14 kW,283
2015,9,14 to 25 kW,188
2015,9,25 to 100 kW,154
2015,10,Less than 2.5 kW,1586
2015,10,2.5 to 4.5 kW,3809
2015,10,4.5 to 6.5 kW,5072
2015,10,6.5 to 9.5 kW,401
2015,10,9.5 to 14 kW,276
2015,10,14 to 25 kW,146
2015,10,25 to 100 kW,191
2015,11,Less than 2.5 kW,1502
2015,11,2.5 to 4.5 kW,3866
2015,11,4.5 to 6.5 kW,4798
2015,11,6.5 to 9.5 kW,417
2015,11,9.5 to 14 kW,303
2015,11,14 to 25 kW,171
2015,11,25 to 100 kW,179
2015,12,Less than 2.5 kW,1272
2015,12,2.5 to 4.5 kW,3443
2015,12,4.5 to 6.5 kW,4508
2015,12,6.5 to 9.5 kW,382
2015,12,9.5 to 14 kW,332
2015,12,14 to 25 kW,178
2015,12,25 to 100 kW,182
2016,1,Less than 2.5 kW,1114
2016,1,2.5 to 4.5 kW,2663
2016,1,4.5 to 6.5 kW,3705
2016,1,6.5 to 9.5 kW,326
2016,1,9.5 to 14 kW,206
2016,1,14 to 25 kW,102
2016,1,25 to 100 kW,97
2016,2,Less than 2.5 kW,1512
2016,2,2.5 to 4.5 kW,3554
2016,2,4.5 to 6.5 kW,4897
2016,2,6.5 to 9.5 kW,423
2016,2,9.5 to 14 kW,268
2016,2,14 to 25 kW,148
2016,2,25 to 100 kW,163
2016,3,Less than 2.5 kW,1439
2016,3,2.5 to 4.5 kW,3512
2016,3,4.5 to 6.5 kW,4723
2016,3,6.5 to 9.5 kW,418
2016,3,9.5 to 14 kW,261
2016,3,14 to 25 kW,137
2016,3,25 to 100 kW,156
2016,4,Less than 2.5 kW,1397
