year,month,state,size,capacity
2019,1,aus,4,63
2019,1,aus,5,84
2019,2,aus,0,12
2019,2,aus,1,106
2019,2,aus,2,23
2019,2,aus,3,20
2019,2,aus,4,25
2019,2,aus,5,253
2019,3,aus,0,12
2019,3,aus,1,108
2019,3,aus,2,26
2019,3,aus,3,21
2019,3,aus,4,16
2019,3,aus,5,0
2019,4,aus,0,10
2019,4,aus,1,96
2019,4,aus,2,23
2019,4,aus,3,19
2019,4,aus,4,16
2019,4,aus,5,181
2019,5,aus,0,11
2019,5,aus,1,104
2019,5,aus,2,30
2019,5,aus,3,28
2019,5,aus,4,13
2019,5,aus,5,252
2019,6,aus,0,9
2019,6,aus,1,85
2019,6,aus,2,29
2019,6,aus,3,29
2019,6,aus,4,21
2019,6,aus,5,89
2019,7,aus,0,9
2019,7,aus,1,106
2019,7,aus,2,30
2019,7,aus,3,28
2019,7,aus,4,27
2019,7,aus,5,0
2019,8,aus,0,10
2019,8,aus,1,109
2019,8,aus,2,29
2019,8,aus,3,26
2019,8,aus,4,49
2019,8,aus,5,218
2019,9,aus,0,10
2019,9,aus,1,118
2019,9,aus,2,32
2019,9,aus,3,26
2019,9,aus,4,9
2019,9,aus,5,0
2019,10,aus,0,11
2019,10,aus,1,133
2019,10,aus,2,36
2019,10,aus,3,30
2019,10,aus,4,19
2019,10,aus,5,255
2019,11,aus,0,12
2019,11,aus,1,143
2019,11,aus,2,41
2019,11,aus,3,34
2019,11,aus,4,52
2019,11,aus,5,300
2019,12,aus,0,9
2019,12,aus,1,140
2019,12,aus,2,48
2019,12,aus,3,55
2019,12,aus,4,27
2019,12,aus,5,638
2020,1,aus,0,8
2020,1,aus,1,118
2020,1,aus,2,27
2020,1,aus,3,14
2020,1,aus,4,32
2020,1,aus,5,0
2020,2,aus,0,10
2020,2,aus,1,139
2020,2,aus,2,37
2020,2,aus,3,22
2020,2,aus,4,22
2020,2,aus,5,0
2020,3,aus,0,11
2020,3,aus,1,152
2020,3,aus,2,45
2020,3,aus,3,29
2020,3,aus,4,13
2020,3,aus,5,121
